token,lemma
1980,UNK
года,год
в,в
президентском,президентский
дворце,дворец
в,в
столице,столица
перу,перу
лиме,лима
одиннадцать,одиннадцать
лет,год
спустя,спустя
войны,война
линия,линия
границы,граница
между,между
странами,страна
была,быть
окончательно,окончательно
установлена,установить
решением,решение
международного,международный
суда,суд
оон,оон
11,UNK
сентября,сентябрь
1992,UNK
года,год
память,память
в,в
столице,столица
сальвадора,сальвадор
в,в
память,память
о,о
участниках,участник
войны,война
1969,UNK
года,год
была,быть
названа,назвать
улица,улица
бульвар,бульвар
героев,герой
в,в
городе,город
сан,сан
хосе,хосе
де,де
ла,ла
фуэнте,фуэнт
департамент,департамент
ла-уньон,UNK
сальвадор,сальвадор
установлен,установить
памятник,памятник
капитану,капитан
гильермо,гильермо
рейнальдо,рейнальдо
кортесу,кортес
guillermo,guillermo
reynaldo,reynaldo
cortez,cortez
пилоту,пилот
ввс,ввс
сальвадора,сальвадор
погибшему,погибнуть
в,в
воздушном,воздушный
бою,бой
с,с
истребителями,истребитель
ввс,ввс
гондураса,гондурас
в,в
50-летие,UNK
войны,война
ветераны,ветеран
вооружённых,вооружённый
сил,сила
сальвадора,сальвадор
были,быть
награждены,наградить
нагрудным,нагрудный
знаком,знак
veterano,veterano
por,por
la,la
dignidad,dignidad
nacional,nacional
дополнительная,дополнительный
информация,информация
футбольная,футбольный
война,война
часто,часто
упоминается,упоминаться
как,как
последний,последний
в,в
истории,история
конфликт,конфликт
в,в
котором,который
друг,друг
против,против
друга,друг
сражались,сражаться
винтовые,винтовой
самолёты,самолёт
с,с
поршневыми,поршневой
двигателями,двигатель
обе,оба
стороны,сторона
использовали,использовать
американские,американский
самолёты,самолёт
времён,время
второй,второй
мировой,мировой
войны,война
p-51,UNK
мустанг,мустанг
f4u,UNK
корсар,корсар
t-28,UNK
троян,троян
и,и
переоборудованные,переоборудовать
в,в
бомбардировщики,бомбардировщик
dc-3,UNK
непосредственно,непосредственно
перед,перед
началом,начало
войны,война
по,по
меньшей,малый
мере,мера
один,один
транспортный,транспортный
самолёт,самолёт
c-47,UNK
военно-воздушных,UNK
сил,сила
сальвадора,сальвадор
был,быть
переоборудован,переоборудовать
для,для
использования,использование
в,в
качестве,качество
бомбардировщика,бомбардировщик
бомбы,бомба
были,быть
размещены,разместить
в,в
грузовом,грузовой
отсеке,отсек
после,после
начала,начало
войны,война
таким,такой
же,же
образом,образ
были,быть
переоборудованы,переоборудовать
несколько,несколько
c-47,UNK
военно-воздушных,UNK
сил,сила
гондураса,гондурас
помимо,помимо
авиабомб,авиабомба
для,для
бомбардировки,бомбардировка
использовались,использоваться
60-мм,UNK
и,и
81-мм,UNK
миномётные,миномётный
мины,мина
результаты,результат
футбольных,футбольный
матчей,матч
6,UNK
июня,июнь
1969,UNK
года,год
тегусигальпа,тегусигальпа
гондурас,гондурас
гондурас,гондурас
сальвадор,сальвадор
5,UNK
2,UNK
3,UNK
1,UNK
после,после
первого,первый
тайма,тайм
15,UNK
июня,июнь
1969,UNK
года,год
сан-сальвадор,UNK
сальвадор,сальвадор
гондурас,гондурас
4,UNK
2,UNK
3,UNK
0,UNK
матч,матч
плей-офф,UNK
27,UNK
июня,июнь
мехико,мехико
мексика,мексика
сальвадор,сальвадор
гондурас,гондурас
3,UNK
2,UNK
в,в
дополнительное,дополнительный
время,время
1,UNK
2,UNK
2,UNK
2,UNK
обыграв,обыграть
осенью,осень
в,в
финальном,финальный
этапе,этап
отбора,отбор
гаитян,гаитянин
сборная,сборная
сальвадора,сальвадор
по,по
футболу,футбол
впервые,впервые
в,в
своей,свой
истории,история
вышла,выйти
в,в
финальную,финальный
часть,часть
чемпионата,чемпионат
мира,мир
1970,UNK
года,год
по,по
футболу,футбол
где,где
заняла,занять
последнее,последний
место,место
проиграв,проиграть
всухую,всухую
во,в
всех,весь
матчах,матч
примечания,примечание
литература,литература
николаев,николаев
п,п
и,и
сальвадорско-гондурасская,UNK
драма,драма
латинская,латинский
америка,америка
журнал,журнал
1970,UNK
6,UNK
ryszard,ryszard
kapu,kapu
ci,ci
ski,ski
wojna,wojna
futbolowa,futbolowa
warszawa,warszawa
1978,UNK
262,UNK
strony,strony
пол,пол
william,william
h,h
durham,durham
scarcity,scarcity
and,and
survival,survival
in,in
central,central
america,america
ecological,ecological
origins,origins
of,of
the,the
soccer,soccer
war,war
stanford,stanford
california,california
stanford,stanford
university,university
press,press
1979,UNK
англ,англ
thomas,thomas
p,p
anderson,anderson
the,the
war,war
of,of
the,the
dispossessed,dispossessed
honduras,honduras
and,and
el,el
salvador,salvador
1969,UNK
lincoln,lincoln
university,university
of,of
nebraska,nebraska
press,press
1981,UNK
англ,англ
juan,juan
ram,ram
n,n
mart,mart
nez,nez
la,la
guerra,guerra
de,de
1969,UNK
ense,ense
anzas,anzas
y,y
valoraciones,valoraciones
выпуск,выпуск
la,la
tribuna,tribuna
14,UNK
июля,июль
2013,UNK
г,г
максим,максим
райдер,райдер
футбольная,футбольный
война,война
интернет-сайт,UNK
уголок,уголок
неба,небо
подробности,подробность
войны,война
в,в
воздухе,воздух
ссылки,ссылка
soccer,soccer
war,war
1969,UNK
интернет-сайт,UNK
armed,armed
conflict,conflict
events,events
database,database
футбольная,футбольный
война,война
интернет-сайт,UNK
conflictologist,conflictologist
org,org
guerra,guerra
de,de
la,la
cien,cien
horas,horas
подшивка,подшивка
посвящённых,посвятить
войне,война
статей,стать
газеты,газета
la,la
prensa,prensa
grafica,grafica
за,за
14,UNK
20,UNK
июля,июль
1969,UNK
г,г
land,land
island,island
and,and
maritime,maritime
frontier,frontier
dispute,dispute
el,el
salvador,salvador
honduras,honduras
nicaragua,nicaragua
intervening,intervening
summary,summary
of,of
the,the
judgment,judgment
of,of
11,UNK
september,september
1992,UNK
футбол,футбол
это,это
война,война
иногда,иногда
вполне,вполне
реальная,реальный
русская,русский
служба,служба
би-би-си,UNK
